序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
4911,鰹,09C39,Big5-2,,A,,,V,,V,,,,,,1,,14,不分類,14 都有收
6725,鱇,09C47,CJK,,A,A,,,,V,,,,,,2,,9,,鮟鱇魚
5388,鱈,09C48,Big5-2,台,A,,,V,,V,,,,1,6,1,,13,動植物,鱈魚
4915,鱒,09C52,Big5-2,,A,,,V,V,V,,,,,1,1,人,14,不分類,14 都有收
5689,鱘,09C58,Big5-2,,B,B,,V,,V,,,,,1,4,,12,,
6034,鱟,09C5F,Big5-1,台,A,,,V,,V,,,,,,4,,11,,
6035,鱧,09C67,Big5-2,,B,,,V,,V,,,,,,2,,11,,
6036,鱲,09C72,CJK,台,B,,,,,,,,,,,4,,11,,
5389,鱺,09C7A,Big5-2,台,C,,,V,,V,,,,,,4,,13,動植物,鱺魚
6037,鳧,09CE7,Big5-2,,A,A,,V,,V,,,,,,2,,11,,
6396,鴃,09D03,Big5-1,客,A,,,V,,V,,,,,,2,,10,,
5690,鴇,09D07,Big5-2,,A,,,V,,V,,,,,,1,,12,常用詞,老鴇
6038,鴞,09D1E,Big5-2,台,C,,,V,,V,,,,,,3,,11,,
7049,鴟,09D1F,Big5-2,台,,,,,,V,,,,,,2,,8,,鴟鴞 bā-hio̍h ㄔ ㄒㄧㄠ
9891,鴴,09D34,CJK,,,,,,,,,,,,,,,4,,高蹺鴴
5390,鵜,09D5C,Big5-2,,A,,,V,,V,,,,,1,1,人,13,動植物,鵜鶘
5691,鵯,09D6F,Big5-2,,B,,,V,,V,,,,,,2,,12,,
5391,鵰,09D70,Big5-2,台,B,B,,V,V,V,,,,1,,3,,13,動植物,大鵰
4942,鶇,09D87,Big5-2,,C,,,,V,,,,,,,2,,14,不分類,14 都有收
5392,鶘,09D98,Big5-2,,C,,,V,,V,,,,,,,,13,動植物,鵜鶘
6039,鶚,09D9A,Big5-2,,C,,,V,,V,,,,,,2,,11,,
5393,鶩,09DA9,Big5-2,,A,A,,V,,V,,,,,,2,,13,動植物,趨之若鶩」
6727,鶸,09DB8,Big5-1,,A,,,,,,,,,,,2,,9,,
7053,鶺,09DBA,Big5-2,台、客,B,,,V,,V,,,,,,2,,8,,
7475,鶼,09DBC,Big5-2,,C,,,V,,V,,,,,,3,,7,,鶼鰈情深
4950,鷲,09DF2,Big5-2,,A,A,,V,V,V,,,,1,3,1,人,14,不分類,14 都有收
17561,鷳,09DF3,Big5-2,,,,,,,V,,,,3,,,,1,,
7057,鷴,09DF4,Big5-2,,C,,,,,V,,,,,,4,,8,,
6040,鷸,09DF8,Big5-2,,A,A,,V,V,V,,,,1,,2,,11,,
6041,鸛,09E1B,Big5-1,,A,,,V,V,V,,,,2,,2,,11,,
5394,鸝,09E1D,Big5-2,,C,,,V,V,V,,,,15,,4,,13,動植物,黃鸝
5395,鹵,9.00E+75,Big5-1,客,A,A,,V,,V,,,,,,2,,13,常用詞,部首、鹵素
6731,黌,09ECC,Big5-1,,A,,,V,,V,,,,13,,2,,9,,
5693,黐,09ED0,Big5-2,台,,B,,V,,V,,,,,,2,,12,粵語,黐線
5694,黥,09EE5,Big5-2,,B,,,V,,V,,,,,,2,,12,地理社會,黥面
6044,黹,09EF9,Big5-2,台,,,,V,,V,,,,1,,2,,11,台語,
6397,黽,09EFD,Big5-2,,C,,,V,,V,,,,,,2,,10,,
8126,鼐,09F10,Big5-2,,B,,,V,,V,,,,18,,3,,6,,調和鼎鼐
5396,鼯,09F2F,Big5-1,,A,,,V,,V,,,,,,4,,13,常用詞,鼯鼠
5397,齁,09F41,Big5-2,台,,,,V,,V,,,,,,4,,13,狀聲詞,陳時中常用詞
5398,齧,09F67,Big5-1,台、客,A,A,,V,,V,,,,,,2,,13,常用詞,齧齒類
5698,龕,09F95,Big5-2,台、客,A,A,,V,V,V,,,,,,2,,12,,神龕
17874,𩵚,29D5A,ExtB,,,,,,,,,,,,,,,1,,"𩵚 常見於小吃店的訛字／
建議收錄「𩵚」於基本包，常用詞彙為「𩵚魠（魚）」。
 目前台灣教育部國語辭典條目有「土魠魚」、「土托魚」，閩南語辭典條目收「塗魠」，但不論作土魠/土托/塗魠，可能僅為借用字。民間習寫為「𩵚魠」亦無不可，且偏旁類化從魚之字形更為常見。過去因Big-5無「𩵚」，進入數位打字時代才多用「土」代之。
 今「魠」字既已列入基本包，則該字最常配搭之「𩵚」字應一併收錄為妥。"
